date,trip_count_diff1,trip_count_hp_cycle,trip_count_hp_trend,avg_fare_diff1,avg_fare_hp_cycle,avg_fare_hp_trend,total_revenue_diff1,total_revenue_hp_cycle,total_revenue_hp_trend
2023-02-24,232.0,8949.087909022302,105512.9120909777,-0.4078573628987563,-0.3763261126925208,18.78730268133539,-51307.93000000017,218596.64784764266,2914207.112152357
2023-02-25,-1973.0,6846.227732481013,105642.77226751899,-0.47867545475617845,-0.8712896507191665,18.803590764605858,-216397.94999999972,-3681.1638129320927,2920086.973812932
2023-02-26,-22249.0,-15530.641213692725,105770.64121369272,2.1603914836310416,1.2723457276198396,18.820346869897893,-313678.06000000006,-323239.74795599934,2925967.4979559993
2023-02-27,1845.0,-13811.613490453485,105896.61349045348,-0.8255559303080879,0.4295919616909103,18.837544705518734,16682.419999999925,-312438.0005640243,2931848.1705640242
2023-02-28,8189.0,-5746.663823561335,106020.66382356134,-1.0308505910583001,-0.6188817211067388,18.855167797258083,105759.95999999996,-212555.8534856164,2937725.9834856163
2023-03-01,14022.0,8153.339632315387,106142.66036768461,0.5639115685606342,-0.07300534094646238,18.87320298565844,459790.06000000006,241364.67221765686,2943595.517782343
2023-03-02,3661.0,11694.573064050142,106262.42693594986,0.09878681572699222,0.007352124498588353,18.891632335940383,121896.31000000006,357406.78557568975,2949449.7144243103
2023-03-03,-2557.0,9020.1497469452,106379.8502530548,-0.6118102836625425,-0.6232631732352374,18.910437350011666,-162041.29000000004,189531.8332366473,2955283.3767633527
2023-03-04,-3170.0,5735.092720399567,106494.90727960043,-0.44612909079229013,-1.0885545005252695,18.929599586509408,-246293.1499999999,-62572.005919711664,2961094.0659197117
2023-03-05,-16169.0,-10546.644576108622,106607.64457610862,2.1061936477371432,0.9981429387799778,18.949095794941304,-144349.93000000017,-212708.67545061512,2966880.805450615
2023-03-06,-3418.0,-14075.152955359838,106718.15295535984,-0.33003808175621074,0.6483063264903031,18.968894325474768,-72232.79000000004,-290702.7961046016,2972642.1361046014
2023-03-07,20238.0,6054.558148295735,106826.44185170426,-1.5050120639830382,-0.8767826420153817,18.988971229997414,374280.6699999999,77845.05264043342,2978374.9573595664
2023-03-08,3563.0,9511.587905083245,106932.41209491676,0.7425665732972071,-0.15455240148124005,19.00930756276048,205698.34000000032,277844.4243837269,2984073.925616273
2023-03-09,4152.0,13559.988767958173,107036.01123204183,0.16083125949757004,-0.01429119194023798,19.029877612717048,132266.08999999985,404450.1420682422,2989734.2979317578
2023-03-10,80.0,13538.739797994029,107137.26020200597,-0.18599412404838134,-0.22106217955780494,19.050654476286233,-18649.759999999776,380181.20477564447,2995353.4752243557
2023-03-11,-10381.0,3058.71542672129,107236.28457327871,-0.9302060144853534,-1.1722248573725373,19.071611139615612,-512788.02,-138185.31916967174,3000931.979169672
2023-03-12,-16110.0,-13148.31437991443,107333.31437991443,2.1810130382432007,0.9876804373602042,19.09271888312607,-142718.93000000017,-286445.5349402623,3006473.2649402623
2023-03-13,5335.0,-7908.603257166789,107428.60325716679,-0.6580647143769518,0.3083946638157222,19.1139399422936,138081.33000000007,-153870.6614639354,3011979.7214639354
2023-03-14,7243.0,-759.3033872464002,107522.3033872464,-1.0568467498295249,-0.7697563173054291,19.135244173585228,55893.060000000056,-103449.40744060511,3017451.527440605
2023-03-15,12247.0,11395.494070809567,107614.50592919043,1.2139726932538544,0.4228567364772289,19.156603813056424,515652.95999999996,406767.405703438,3022887.674296562
2023-03-16,3984.0,15288.70381678635,107705.29618321365,0.3854520478288208,0.786927440077573,19.1779851572849,174597.2999999998,575966.0247626407,3028286.355237359
2023-03-17,-11564.0,3635.1526222741522,107794.84737772585,0.2119265841864788,0.9774814159171328,19.19935776563182,-318263.4499999997,252340.0278940592,3033648.902105941
2023-03-18,9063.0,12609.549290469571,107883.45070953043,-1.7260617919910537,-0.7699198798714413,19.22069726942934,-84391.05000000028,162616.7890724591,3038981.090927541
2023-03-19,-20988.0,-8466.425424447938,107971.42542444794,2.361495863042471,1.5702864102958713,19.2419868423045,-233863.06000000006,-76555.82479550829,3044290.644795508
2023-03-20,-8890.0,-17444.188064203932,108059.18806420393,-0.08740893653790849,1.461660598917959,19.263203717144503,-214497.96999999974,-296349.6915623676,3049586.5415623677
2023-03-21,10341.0,-7191.089843167341,108147.08984316734,-1.3439542166131986,0.09657285620520994,19.284337243244053,130728.91999999993,-170911.39837211883,3054877.168372119
2023-03-22,4160.0,-3119.3473754905135,108235.34737549051,-0.03729380887503808,0.03822824243101053,19.305388048143215,121706.21999999974,-54496.63571990561,3060168.6257199054
2023-03-23,8039.0,4830.878211478499,108324.1217885215,0.3875345202604734,0.40479330629171173,19.326357504542987,285404.2200000002,225610.51465991652,3065465.6953400834
2023-03-24,-3209.0,1532.449859430053,108413.55014056995,-0.5121633078787049,-0.12825977715937498,19.34724728011537,-160082.3700000001,60221.10153172305,3070772.738468277
2023-03-25,4618.0,6060.1932347596885,108503.80676524031,-1.2981198656528257,-1.447194528634327,19.368062165937495,-156102.43999999994,-101204.45716198068,3076095.8571619806
2023-03-26,-21343.0,-15374.077820595834,108595.07782059583,2.9907140878446015,1.5227757617200375,19.388805963427732,-185069.43999999994,-291619.6581476829,3081441.618147683
2023-03-27,2299.0,-13167.59622544999,108687.59622544999,-1.1262822067223084,0.37582821104548003,19.40947130737998,3714.660000000149,-293279.1872532815,3086815.8072532816
2023-03-28,7899.0,-5362.47627147258,108781.47627147258,-0.5339729730131104,-0.1787360369887736,19.430062582401124,142931.70999999996,-155753.63015499106,3092221.960154991
2023-03-29,6901.0,1443.2693514893472,108876.73064851065,0.12436906735052489,-0.0748914602442099,19.450587073007085,219709.22999999998,58516.21042766608,3097661.349572334
2023-03-30,7946.0,9292.669330720455,108973.33066927954,0.34888643110434003,0.2535313592895072,19.47105068457771,270391.71999999974,323435.23357786704,3103134.0464221328
2023-03-31,-4115.0,5079.741217167728,109071.25878283227,-0.22138128347089747,0.011742015769694802,19.491458744626623,-140758.21999999974,177170.48686482012,3108640.57313518
2023-04-01,1706.0,6686.430859082699,109170.5691409173,-1.1824758149894805,-1.191093591521124,19.51181853692796,-220931.08000000007,-49303.96778450254,3114183.9477845025
2023-04-02,-16993.0,-10407.35509081719,109271.35509081719,2.1043834863782394,0.8929709959272465,19.53213743585783,-174680.66000000015,-229569.23549935548,3119768.5554993553
2023-04-03,-2870.0,-13379.761572645162,109373.76157264516,-0.39170738588637377,0.4809874206433413,19.55241362525536,-78151.84999999963,-313350.9309771396,3125398.40097714
2023-04-04,11630.0,-1853.8532228486874,109477.85322284869,-1.290586246225768,-0.82983737949505,19.572652179167985,171983.21999999974,-147045.02754770126,3131075.717547701
2023-04-05,7015.0,5055.408561025761,109583.59143897424,0.38406278997805643,-0.4659842933148397,19.59286188296583,242012.1499999999,89242.51929037133,3136800.3207096285
2023-04-06,-7552.0,-2603.9233141452714,109690.92331414527,0.20411048546550248,-0.282057043836339,19.613045118952833,-171441.72999999998,-87969.7813548157,3142570.8913548156
2023-04-07,-2229.0,-4941.83494926733,109799.83494926733,-0.7634068700582262,-1.0656194688168306,19.6332006738751,-170886.8799999999,-264672.56897484185,3148386.798974842
2023-04-08,-4328.0,-9380.292353245066,109910.29235324507,-0.7694902869243769,-1.855234239978774,19.653325158112665,-305157.7000000002,-575690.204282112,3154246.7342821117
2023-04-09,-13082.0,-22574.223403540615,110022.22340354061,2.4727621602669885,0.5974461187277669,19.673406959673112,-47644.919999999925,-629235.7357624164,3160147.3457624163
2023-04-10,1398.0,-21289.483598817096,110135.4835988171,0.307789291542619,0.885222218458491,19.693420151485007,144647.7000000002,-490521.5298475013,3166080.8398475014
2023-04-11,15119.0,-6284.754253915045,110249.75425391505,-1.0161317173200217,-0.15083276377719912,19.713343416400676,319779.6999999997,-176695.5577551024,3172034.567755102
2023-04-12,8216.0,1816.4475870318129,110364.55241296819,-0.550941492070443,-0.7215931071377568,19.73316226769079,160124.86000000034,-22528.22581460653,3177992.0958146066
2023-04-13,8742.0,10443.653373363937,110479.34662663606,0.49548665182343754,-0.24580524241649115,19.752861054792962,315758.81999999983,287287.0630362504,3183935.6269637495
2023-04-14,1895.0,12224.380538622529,110593.61946137747,-0.27920362458640824,-0.5445663715066793,19.772418559296742,14038.629999999888,295414.1296886387,3189847.190311361
