date,trip_count,avg_fare,total_revenue
2023-12-01,127378,20.28533357408658,3797778.11
2023-12-02,121053,19.32157311260357,3347608.18
2023-12-03,104953,20.536526731012927,3109777.55
2023-12-04,101130,20.882156926727973,3110331.73
2023-12-05,119546,20.117152727820255,3556846.68
2023-12-06,128206,20.21655686941329,3834539.32
2023-12-07,134086,20.918221141655355,4108995.12
2023-12-08,131111,20.286214352724027,3891791.12
2023-12-09,133837,19.536423858873107,3709985.17
2023-12-10,110801,20.286502197633595,3206177.9
2023-12-11,109306,20.317384498563662,3265390.56
2023-12-12,125311,20.333727286511163,3726424.4899999998
2023-12-13,134785,20.06755774010461,3970383.72
2023-12-14,143331,21.127305956143474,4388162.47
2023-12-15,140060,20.29258410681137,4145721.42
2023-12-16,135052,19.56381541924592,3728157.43
2023-12-17,106187,19.764106058180378,3010392.48
2023-12-18,100398,19.389603876571247,2854095.07
2023-12-19,120639,19.229245517618683,3402376.18
2023-12-20,117253,19.369444790325193,3325724.92
2023-12-21,115597,19.50685891502375,3290708.57
2023-12-22,109743,19.11047046280856,3047001.27
2023-12-23,82019,19.420410636559822,2256663.24
2023-12-24,64532,18.42543296349098,1683942.48
2023-12-25,44598,21.39522108614736,1331036.28
2023-12-26,67161,21.57640148300353,2089194.09
2023-12-27,79944,21.751277644351045,2493060.97
2023-12-28,83093,21.622757873707773,2576436.47
2023-12-29,84807,21.189482707795346,2585785.92
2023-12-30,81218,21.02947807136349,2408017.62
2023-12-31,75630,19.792794658204418,2110986.94
2024-01-01,79684,22.479355956026303,2474583.53
2024-01-02,74393,21.549753471428765,2307577.22
2024-01-03,81269,20.23946191044556,2387578.59
2024-01-04,101573,18.924731966172114,2834049.03
2024-01-05,101819,18.308926919337253,2759642.75
2024-01-06,95798,17.78990166809328,2464769.01
2024-01-07,66544,20.03074446982448,1921616.6199999999
2024-01-08,78958,19.2137953088984,2242218.86
2024-01-09,92793,17.310618688909724,2386819.32
2024-01-10,93941,18.335007078911232,2575787.33
2024-01-11,103765,19.013631089481038,2935958.19
2024-01-12,102394,18.99385569466961,2891241.51
2024-01-13,103391,17.745845673221073,2680580.58
2024-01-14,93125,18.353092832214767,2487161.11
2024-01-15,76073,19.787984830360312,2187710.22
2024-01-16,91976,19.60665423588762,2658980.45
2024-01-17,109041,18.61417668583377,3006191.3
2024-01-18,109056,18.308510856807512,2970691.24
2024-01-19,94707,17.674395451233806,2507194.04
2024-01-20,107322,16.82397020182255,2629601.75
2024-01-21,83286,18.954904305645606,2290962.13
2024-01-22,84492,19.053497609241113,2387694.12
2024-01-23,98653,18.115857804628344,2663763.79
2024-01-24,103866,18.10048225598367,2814875.27
2024-01-25,108980,18.705077537162783,3032422.07
